Period Start Date,EUR/RON
2018-04-30,4.652272
2018-04-23,4.650451
2018-04-16,4.638526
2018-04-09,4.645957
2018-04-02,4.646030
2018-03-26,4.647719
2018-03-19,4.657905
2018-03-12,4.653932
2018-03-05,4.652882
2018-02-26,4.650794
2018-02-19,4.649359
2018-02-12,4.650158
2018-02-05,4.639621
2018-01-29,4.642843
2018-01-22,4.656951
2018-01-15,4.643949
2018-01-08,4.633872
2018-01-01,4.634067
2017-12-25,4.639975
2017-12-18,4.623714
2017-12-11,4.624153
2017-12-04,4.625186
2017-11-27,4.633481
2017-11-20,4.636750
2017-11-13,4.635766
2017-11-06,4.623963
2017-10-30,4.593631
2017-10-23,4.593413
2017-10-16,4.587016
2017-10-09,4.577858
2017-10-02,4.574531
2017-09-25,4.593046
2017-09-18,4.591594
2017-09-11,4.594607
2017-09-04,4.592445
2017-08-28,4.589945
2017-08-21,4.586847
2017-08-14,4.576581
2017-08-07,4.564613
2017-07-31,4.555217
2017-07-24,4.557488
2017-07-17,4.562329
2017-07-10,4.561475
2017-07-03,4.573505
2017-06-26,4.556004
2017-06-19,4.579770
2017-06-12,4.574943
2017-06-05,4.560534
2017-05-29,4.561630
2017-05-22,4.550416
2017-05-15,4.553279
2017-05-08,4.543139
2017-05-01,4.542109
2017-04-24,4.530437
2017-04-17,4.529123
2017-04-10,4.512853
2017-04-03,4.525308
2017-03-27,4.548135
2017-03-20,4.550549
2017-03-13,4.545982
2017-03-06,4.535588
2017-02-27,4.520549
2017-02-20,4.513119
2017-02-13,4.510594
2017-02-06,4.494296
2017-01-30,4.514597
2017-01-23,4.497073
2017-01-16,4.492917
2017-01-09,4.491970
2017-01-02,4.511433
Period Average,4.585182
Period Low,4.491970
Period High,4.657905