Date,rwd,ios,undefined,desktop
2017-07-04,11,33,0,16
2017-07-05,34,9,0,46
2017-07-06,26,0,0,21
2017-07-07,32,4,0,71
2017-07-08,35,8,0,11
2017-07-09,38,1,0,33
2017-07-10,28,9,0,68
2017-07-11,44,24,0,51
2017-07-12,35,3,0,21
2017-07-13,58,2,1,78
2017-07-14,59,7,0,27
2017-07-15,56,6,0,26
2017-07-16,79,3,1,40
2017-07-17,94,2,0,35
2017-07-18,79,15,0,52
2017-07-19,45,3,0,45
2017-07-20,65,4,0,39
2017-07-21,162,11,0,72
2017-07-22,173,6,0,71
2017-07-23,163,8,1,59
2017-07-24,167,3,0,69
2017-07-25,179,3,0,58
2017-07-26,155,6,1,45
2017-07-27,147,21,0,141
2017-07-28,170,1,0,67
2017-07-29,136,4,0,23
2017-07-30,142,4,0,45
2017-07-31,117,8,0,53
2017-08-01,137,3,0,45
2017-08-02,125,2,0,65
2017-08-03,115,1,0,40
2017-08-04,120,3,0,85
2017-08-05,112,5,0,48