Date;page name;Loads
04/04/2017;adpage;4121
03/04/2017;adpage;3848
02/04/2017;adpage;2624
11/04/2017;adpage;1860
17/04/2017;adpage;1480
13/04/2017;adpage;1221
05/04/2017;adpage;1087
12/04/2017;adpage;1080
21/04/2017;adpage;1053
06/04/2017;adpage;1034
19/04/2017;adpage;979
18/04/2017;adpage;922
07/04/2017;adpage;880
10/04/2017;adpage;798
02/05/2017;adpage;798
26/05/2017;adpage;791
20/04/2017;adpage;748
27/04/2017;adpage;712
08/04/2017;adpage;703
24/04/2017;adpage;665
26/04/2017;adpage;652
05/06/2017;adpage;642
25/04/2017;adpage;637
14/04/2017;adpage;624
25/05/2017;adpage;613
11/05/2017;adpage;569
04/05/2017;adpage;568
22/06/2017;adpage;563
03/07/2017;adpage;561
09/05/2017;adpage;559
28/04/2017;adpage;556
06/06/2017;adpage;553
03/05/2017;adpage;541
23/05/2017;adpage;534
01/05/2017;adpage;532
15/05/2017;adpage;531
08/06/2017;adpage;525
23/06/2017;adpage;524
02/06/2017;adpage;518
19/05/2017;adpage;517
28/06/2017;adpage;511
09/04/2017;adpage;507
30/05/2017;adpage;503
05/05/2017;adpage;501
09/06/2017;adpage;499
08/05/2017;adpage;498
27/06/2017;adpage;492
18/05/2017;adpage;489
24/05/2017;adpage;489
16/05/2017;adpage;487
31/05/2017;adpage;484
19/06/2017;adpage;479
10/05/2017;adpage;478
15/06/2017;adpage;477
22/05/2017;adpage;475
12/05/2017;adpage;469
17/05/2017;adpage;469
07/06/2017;adpage;469
29/05/2017;adpage;467
13/06/2017;adpage;466
14/06/2017;adpage;461
15/04/2017;adpage;423
16/06/2017;adpage;422
01/06/2017;adpage;413
29/06/2017;adpage;410
12/06/2017;adpage;401
21/06/2017;adpage;376
20/06/2017;adpage;369
30/06/2017;adpage;342
22/04/2017;adpage;338
23/04/2017;adpage;318
06/05/2017;adpage;304
16/04/2017;adpage;290
29/04/2017;adpage;235
13/05/2017;adpage;231
11/06/2017;adpage;228
24/06/2017;adpage;227
10/06/2017;adpage;214
27/05/2017;adpage;212
01/07/2017;adpage;203
26/06/2017;adpage;198
17/06/2017;adpage;191
20/05/2017;adpage;181
07/05/2017;adpage;180
30/04/2017;adpage;177
21/05/2017;adpage;171
14/05/2017;adpage;162
28/05/2017;adpage;152
03/06/2017;adpage;147
04/06/2017;adpage;130
18/06/2017;adpage;102
25/06/2017;adpage;89
02/07/2017;adpage;84