Date;Visits
04/04/2017;272
02/04/2017;255
03/04/2017;254
05/04/2017;141
09/04/2017;139
30/04/2017;122
15/04/2017;121
16/04/2017;120
06/04/2017;119
13/04/2017;117
23/04/2017;117
07/04/2017;111
10/04/2017;111
08/04/2017;110
11/04/2017;109
25/04/2017;108
12/04/2017;106
14/04/2017;105
18/04/2017;103
27/05/2017;103
05/05/2017;101
07/05/2017;99
17/04/2017;98
13/05/2017;98
16/05/2017;98
19/04/2017;97
04/05/2017;95
01/05/2017;94
22/05/2017;94
21/05/2017;93
20/04/2017;92
22/04/2017;92
20/05/2017;91
31/05/2017;91
14/05/2017;90
12/06/2017;90
26/04/2017;87
02/05/2017;87
18/05/2017;87
26/05/2017;87
11/06/2017;86
08/05/2017;85
10/05/2017;85
24/05/2017;85
30/05/2017;85
21/04/2017;84
24/04/2017;84
09/05/2017;84
11/05/2017;84
19/05/2017;84
23/05/2017;84
28/04/2017;82
17/05/2017;82
07/06/2017;82
19/06/2017;82
27/04/2017;81
12/05/2017;80
05/06/2017;80
06/05/2017;79
02/06/2017;77
06/06/2017;75
25/06/2017;75
03/05/2017;74
29/05/2017;74
03/06/2017;73
25/05/2017;72
22/06/2017;72
29/04/2017;71
13/06/2017;70
15/05/2017;69
17/06/2017;68
01/06/2017;67
28/05/2017;66
09/06/2017;66
23/06/2017;65
04/06/2017;64
20/06/2017;64
14/06/2017;63
21/06/2017;62
29/06/2017;62
01/07/2017;61
24/06/2017;60
30/06/2017;60
28/06/2017;59
26/06/2017;58
10/06/2017;57
15/06/2017;56
08/06/2017;54
02/07/2017;53
27/06/2017;52
18/06/2017;51
16/06/2017;50
03/07/2017;42