key.0;value.pv;value.sessions
04/07/2017;292;33
05/07/2017;664;167
06/07/2017;674;181
07/07/2017;528;157
08/07/2017;815;171
09/07/2017;1173;234
10/07/2017;1090;211
11/07/2017;926;164
12/07/2017;780;217
13/07/2017;750;233
14/07/2017;822;245
15/07/2017;896;327
16/07/2017;801;303
17/07/2017;1331;345
18/07/2017;1202;371
19/07/2017;1184;332
20/07/2017;919;311
21/07/2017;1233;445
22/07/2017;1304;489
23/07/2017;1446;502
24/07/2017;1391;448
25/07/2017;1664;426
26/07/2017;1442;432
27/07/2017;1654;382
28/07/2017;1491;466
29/07/2017;1581;446
30/07/2017;1228;395
31/07/2017;1027;366
01/08/2017;1273;367
02/08/2017;1191;378
03/08/2017;1372;350
04/08/2017;1024;355
05/08/2017;1273;372